model,provider,mean_requests,std_requests,n
Qwen 3 Next 80B Thinking,qwen-lm,3.8,2.04,44
Gemini 3.1 Flash-Lite Preview,google,4.02,2.16,44
GLM-5,zai-org,4.55,2.66,44
GPT-5.4 mini,openai,5.05,2.1,44
Gemini 3.1 Pro Preview,google,5.61,4.08,44
GPT-5.4,openai,7.64,5.58,44
Gemini 2.5 Flash,google,8.14,6.36,44
Gemini 3 Flash Preview,google,8.17,5.27,6
Qwen 3 Next 80B Instruct,qwen-lm,8.48,3.59,44
Claude Sonnet 4.6,anthropic,8.73,6.41,44
DeepSeek V3.2,deepseek-ai,9.52,6.18,44
GPT-5.4 nano,openai,10.07,4.9,44
Gemma 4 26B A4B,google,11.34,4.94,44
Claude Opus 4.6,anthropic,12.89,7.24,44
Claude Haiku 4.5,anthropic,13.86,4.9,44
