provider,category,n_models,mean_score,std_score,min_score,max_score,models
Anthropic,associative,3,0.6049,0.0891,0.5022,0.6616,"Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6"
Anthropic,concept,3,0.2631,0.0654,0.1984,0.3292,"Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6"
Anthropic,language,3,0.4418,0.0836,0.3486,0.51,"Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6"
Anthropic,observational,3,0.2703,0.0396,0.2409,0.3153,"Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6"
Anthropic,rl,3,0.4108,0.0085,0.4036,0.4201,"Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6"
Google,associative,4,0.6483,0.1951,0.5014,0.9351,"Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
Google,concept,4,0.4605,0.204,0.2782,0.7237,"Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
Google,language,4,0.4973,0.199,0.2707,0.7557,"Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
Google,observational,4,0.4198,0.2845,0.2071,0.8375,"Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
Google,rl,4,0.4953,0.0926,0.412,0.6237,"Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
Open-source,associative,4,0.6016,0.1437,0.4638,0.7917,"DeepSeek V3.2, GLM-5, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
Open-source,concept,4,0.3689,0.2037,0.191,0.5496,"DeepSeek V3.2, GLM-5, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
Open-source,language,4,0.5508,0.1293,0.4146,0.6932,"DeepSeek V3.2, GLM-5, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
Open-source,observational,4,0.4666,0.1285,0.3034,0.58,"DeepSeek V3.2, GLM-5, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
Open-source,rl,4,0.421,0.1119,0.2678,0.5268,"DeepSeek V3.2, GLM-5, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
OpenAI,associative,3,0.5247,0.1115,0.4368,0.6502,"GPT-5.4, GPT-5.4 mini, GPT-5.4 nano"
OpenAI,concept,3,0.233,0.0672,0.1556,0.2758,"GPT-5.4, GPT-5.4 mini, GPT-5.4 nano"
OpenAI,language,3,0.4591,0.1425,0.3147,0.5997,"GPT-5.4, GPT-5.4 mini, GPT-5.4 nano"
OpenAI,observational,3,0.2134,0.0742,0.1437,0.2913,"GPT-5.4, GPT-5.4 mini, GPT-5.4 nano"
OpenAI,rl,3,0.3002,0.1048,0.2019,0.4105,"GPT-5.4, GPT-5.4 mini, GPT-5.4 nano"
