category,task_name,bimodality_coeff,quality,n_high,n_low,mean_high,mean_low,high_tiers,high_models
rl,levenshtein_words_rf_learning,0.9349,extreme_bimodal,1,13,0.1,0.0,['mid'],Gemini 2.5 Flash
rl,hangman_lite_rf_learning,0.9349,extreme_bimodal,1,13,0.1333,0.0,['mid'],Gemini 2.5 Flash
rl,lights_out_2x2_rf_learning,0.9349,extreme_bimodal,1,13,0.1,0.0,['mid'],Gemini 2.5 Flash
observational,vigenere_variant_cipher_obs_learning,0.9349,good_bimodal,1,13,0.5,0.0,['frontier'],Gemini 3.1 Pro Preview
rl,linear_equation_rf_learning,0.9349,extreme_bimodal,1,13,1.0,0.0,['mid'],Gemini 2.5 Flash
rl,linear_polynomial_rf_learning,0.9349,extreme_bimodal,1,13,1.0,0.0,['mid'],Gemini 2.5 Flash
rl,digit_square_error_rf_learning,0.9335,good_bimodal,1,13,0.8924,0.1943,['frontier'],GPT-5.4
rl,cyclic_distance_rf_learning,0.9332,extreme_bimodal,0,14,,0.9332,[],
rl,digitwise_l1_rf_learning,0.9311,good_bimodal,1,13,1.0,0.1559,['frontier'],Gemini 3.1 Pro Preview
rl,hanoi_three_rf_learning,0.8814,inverted_bimodal,2,12,0.5277,0.0122,"['mid', 'small']","Gemini 2.5 Flash, Gemma 4 26B A4B"
rl,mastermind_aggregate_rf_learning,0.8756,extreme_bimodal,1,13,0.925,0.1631,['mid'],Claude Sonnet 4.6
observational,hidden_graph_centrality_obs_learning,0.86,good_bimodal,2,12,1.0,0.0,"['frontier', 'mid']","DeepSeek V3.2, Gemini 3.1 Pro Preview"
rl,letter_overlap_word_rf_learning,0.86,inverted_bimodal,2,12,0.9944,0.0,"['mid', 'small']","Gemini 2.5 Flash, Gemma 4 26B A4B"
rl,cubic_eval_rf_learning,0.8533,mixed_bimodal,9,5,0.9898,0.7505,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
rl,hanoi_two_rf_learning,0.8474,inverted_bimodal,2,12,0.9898,0.0119,"['mid', 'small']","Gemini 2.5 Flash, Gemma 4 26B A4B"
rl,graph_shortest_path_rf_learning,0.8373,mixed_bimodal,8,6,0.8658,0.5683,"['frontier', 'mid', 'small']","Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5, GPT-5.4 mini"
rl,divisor_count_rf_learning,0.8365,mixed_bimodal,8,6,0.7936,0.4805,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash"
