task_name,category,removal_priority,verdict,removal_reason,code_issue,verdict_short
euler_totient_rf_learning,rl,high,REMOVE,"All-zero scores across all models. Task requires discovering hidden integer n in [12,200] via MOD k probes with only 40 turns. Feedback uses ambiguous WITHIN/OUTSIDE/EXACT notation with no clear instruction. Even discovering the query interface takes most of the budget. Zero discriminatory value.",No implementation bug. Task is simply too hard for the current RL budget (40 turns) and provides no gradient signal to models that don't already know the exact query format.,"REMOVE – all-zero, zero discrimination, opaque feedback interface"
hangman_lite_rf_learning,rl,high,REMOVE,"Near-zero scores for all models except Gemini 2.5 Flash. Task uses 5-symbol string over reduced alphabet with custom feedback bands (BULL/COW/MISS) and hidden wrong-guess penalty. Gemini's success appears to be due to format familiarity, not genuine inference-time learning. The hidden penalty creates unexplainable loss events that prevent systematic learning.","Hidden wrong-guess penalty (-0.5 per duplicate guess) is undisclosed to the model, creating a hostile reward signal that undermines learning.",REMOVE – hidden undisclosed penalty sabotages learning; near-zero except one model
levenshtein_words_rf_learning,rl,high,REMOVE,"Near-zero scores. Task reveals secret word via non-standard Levenshtein costs (insert=1, delete=2, substitute=3). Models must infer the cost table from feedback alone. With 30 turns, convergence is extremely unlikely. Only Gemini 2.5 Flash passes, suggesting rote pattern matching rather than distance-cost inference.",No bug. Task is legitimately hard but fails to discriminate between models systematically – it's a random walk with one outlier.,REMOVE – non-standard costs not learnable in 30 turns; near-zero across all models
lights_out_2x2_rf_learning,rl,high,REMOVE,"Near-zero scores. Task is actually a 4×4 binary lattice (mislabeled 2x2) with hidden XOR chord patterns and graduated telemetry. Finding the chord requires brute-force XOR exploration which is infeasible in 40 turns. Gemini 2.5 Flash is the only model to score, and its advantage appears to be grid-state parsing, not chord inference.","Task name '2x2' is misleading – it's a 4×4 grid. This may confuse models reading the task header. Consider renaming if kept, but recommend removal due to zero discrimination.","REMOVE – mislabeled task name, all-zero, no discrimination across tiers"
hapax_prime_concept_learning,concept,medium,REMOVE,"Negative discrimination (stronger models score lower). The task requires knowing the term 'hapax legomenon' (letters appearing exactly once) and checking if that count is prime. Larger models likely have prior knowledge that creates memorization shortcuts on easy cases but fails on edge cases, inverting the expected tier ordering.","No implementation bug. But the task measures prior knowledge rather than inference-time learning. Prime-of-hapax-count is a narrow factual lookup, not a structural rule inference.",REMOVE – negative discrimination; tests prior knowledge not inference-time learning
semantic_override_concept_learning,concept,medium,KEEP,N/A – kept intentionally.,No issue. Task reveals 'semantic rigidity': GPT-5.4 and Gemini fail while smaller models succeed because they override structural pattern (double letters) with semantic meaning. This is a novel capability insight of significant research value.,KEEP – reveals semantic rigidity in frontier models; high research value
custom_gravity_simulation_obs_learning,observational,medium,KEEP,N/A – borderline but kept.,"No bug. Near-ceiling scores for most models but GLM-5 fails completely, revealing a specific capability gap in physics simulation reasoning. Retained per Phase C revised philosophy.",KEEP – GLM-5 failure reveals physics sim gap; near-ceiling but informative
vigenere_variant_cipher_obs_learning,observational,medium,REMOVE,Low entropy (scores cluster tightly). Task requires inferring hidden key length and positional modulus from ciphertext samples. Models either fully solve it or give up – no partial learning gradient. Low variance means the task cannot rank models within tiers.,"No implementation bug. The task is well-designed but the cipher's structure allows brute-force key enumeration in a few probes, making it binary (solve/fail).",REMOVE – low entropy; bimodal solve/fail with no within-tier discrimination
voronoi_custom_metric_obs_learning,observational,medium,REMOVE,"Negative discrimination. Task requires inferring directionally-asymmetric hub routing rule from probe demonstrations. Frontier models over-engineer the solution, hypothesizing complex rules when a simpler one suffices. Mid-tier models apply Occam's razor and score better.","No implementation bug, but task description may inadvertently prime models toward geometric reasoning instead of graph-routing reasoning.",REMOVE – negative discrimination; frontier models over-engineer the simple rule
cyclic_distance_rf_learning,rl,medium,REMOVE,"Low entropy. Task infers hidden residue on cyclic ring Z_M with noisy RING_GAP feedback. Models converge to similar mid-range scores – the task doesn't separate tiers. The noise in feedback makes systematic narrowing unreliable, collapsing score variance.","No bug, but the noise level is too high relative to the search space, making all models equivalently lost.",REMOVE – low entropy; noise level collapses score variance across tiers
