category,model,tier,mean_score,random_baseline,above_random,above_random_pct
associative,Gemini 3.1 Pro Preview,frontier,0.9351,0.3333333333333333,0.6018,180.5
associative,GLM-5,frontier,0.7917,0.3333333333333333,0.4583,137.5
associative,Claude Opus 4.6,frontier,0.6616,0.3333333333333333,0.3283,98.5
associative,Claude Sonnet 4.6,mid,0.6508,0.3333333333333333,0.3174,95.2
associative,GPT-5.4,frontier,0.6502,0.3333333333333333,0.3168,95.1
associative,Qwen 3 Next 80B Thinking,mid,0.6276,0.3333333333333333,0.2943,88.3
associative,Gemini 2.5 Flash,mid,0.5949,0.3333333333333333,0.2616,78.5
associative,Gemini 3.1 Flash-Lite Preview,mid,0.5616,0.3333333333333333,0.2283,68.5
associative,DeepSeek V3.2,mid,0.5232,0.3333333333333333,0.1899,57.0
associative,Claude Haiku 4.5,small,0.5022,0.3333333333333333,0.1689,50.7
associative,Gemma 4 26B A4B,small,0.5014,0.3333333333333333,0.168,50.4
associative,GPT-5.4 mini,mid,0.4873,0.3333333333333333,0.1539,46.2
associative,Qwen 3 Next 80B Instruct,small,0.4638,0.3333333333333333,0.1305,39.1
associative,GPT-5.4 nano,small,0.4368,0.3333333333333333,0.1035,31.0
concept,Gemini 3.1 Pro Preview,frontier,0.7237,0.02,0.7037,3518.3
concept,GLM-5,frontier,0.5496,0.02,0.5296,2647.8
concept,Qwen 3 Next 80B Thinking,mid,0.5412,0.02,0.5212,2605.8
concept,Gemini 2.5 Flash,mid,0.5178,0.02,0.4978,2488.9
concept,Claude Sonnet 4.6,mid,0.3292,0.02,0.3092,1545.8
concept,Gemini 3.1 Flash-Lite Preview,mid,0.3225,0.02,0.3025,1512.6
concept,Gemma 4 26B A4B,small,0.2782,0.02,0.2582,1291.2
concept,GPT-5.4 mini,mid,0.2758,0.02,0.2558,1279.1
concept,GPT-5.4,frontier,0.2676,0.02,0.2476,1237.8
concept,Claude Opus 4.6,frontier,0.2616,0.02,0.2416,1207.9
concept,Claude Haiku 4.5,small,0.1984,0.02,0.1784,892.1
concept,DeepSeek V3.2,mid,0.1941,0.02,0.1741,870.3
concept,Qwen 3 Next 80B Instruct,small,0.191,0.02,0.171,854.8
concept,GPT-5.4 nano,small,0.1556,0.02,0.1356,677.8
language,Gemini 3.1 Pro Preview,frontier,0.7557,0.01,0.7457,7457.3
language,GLM-5,frontier,0.6932,0.01,0.6832,6832.1
language,Qwen 3 Next 80B Thinking,mid,0.6227,0.01,0.6127,6127.0
language,GPT-5.4,frontier,0.5997,0.01,0.5897,5897.5
language,Claude Opus 4.6,frontier,0.51,0.01,0.5,5000.3
language,Gemini 3.1 Flash-Lite Preview,mid,0.4922,0.01,0.4822,4822.1
language,DeepSeek V3.2,mid,0.4726,0.01,0.4626,4625.8
language,Gemini 2.5 Flash,mid,0.4704,0.01,0.4604,4604.0
language,Claude Sonnet 4.6,mid,0.4668,0.01,0.4568,4568.0
language,GPT-5.4 mini,mid,0.4628,0.01,0.4528,4527.6
language,Qwen 3 Next 80B Instruct,small,0.4146,0.01,0.4046,4046.0
language,Claude Haiku 4.5,small,0.3486,0.01,0.3386,3386.1
language,GPT-5.4 nano,small,0.3147,0.01,0.3047,3047.4
language,Gemma 4 26B A4B,small,0.2707,0.01,0.2607,2607.5
observational,Gemini 3.1 Pro Preview,frontier,0.8375,0.01,0.8275,8275.0
observational,Qwen 3 Next 80B Thinking,mid,0.58,0.01,0.57,5699.6
observational,GLM-5,frontier,0.5579,0.01,0.5479,5479.4
observational,DeepSeek V3.2,mid,0.425,0.01,0.415,4150.0
observational,Gemini 2.5 Flash,mid,0.35,0.01,0.34,3400.0
observational,Claude Opus 4.6,frontier,0.3153,0.01,0.3053,3052.8
observational,Qwen 3 Next 80B Instruct,small,0.3034,0.01,0.2934,2933.7
observational,GPT-5.4,frontier,0.2913,0.01,0.2813,2812.7
observational,Gemini 3.1 Flash-Lite Preview,mid,0.2845,0.01,0.2745,2745.2
observational,Claude Sonnet 4.6,mid,0.2548,0.01,0.2448,2447.6
observational,Claude Haiku 4.5,small,0.2409,0.01,0.2309,2308.7
observational,Gemma 4 26B A4B,small,0.2071,0.01,0.1971,1971.4
observational,GPT-5.4 mini,mid,0.2052,0.01,0.1952,1951.6
observational,GPT-5.4 nano,small,0.1437,0.01,0.1337,1336.5
rl,Gemini 3.1 Pro Preview,frontier,0.6237,0.02,0.6037,3018.3
rl,GLM-5,frontier,0.5268,0.02,0.5068,2534.2
rl,Gemini 2.5 Flash,mid,0.4981,0.02,0.4781,2390.5
rl,Qwen 3 Next 80B Thinking,mid,0.4741,0.02,0.4541,2270.7
rl,Gemma 4 26B A4B,small,0.4475,0.02,0.4275,2137.4
rl,Claude Sonnet 4.6,mid,0.4201,0.02,0.4001,2000.7
rl,DeepSeek V3.2,mid,0.4151,0.02,0.3951,1975.4
rl,Gemini 3.1 Flash-Lite Preview,mid,0.412,0.02,0.392,1959.8
rl,GPT-5.4,frontier,0.4105,0.02,0.3905,1952.7
rl,Claude Opus 4.6,frontier,0.4085,0.02,0.3885,1942.7
rl,Claude Haiku 4.5,small,0.4036,0.02,0.3836,1918.0
rl,GPT-5.4 mini,mid,0.2882,0.02,0.2682,1341.0
rl,Qwen 3 Next 80B Instruct,small,0.2678,0.02,0.2478,1238.8
rl,GPT-5.4 nano,small,0.2019,0.02,0.1819,909.6
