category,model,composite_score,simulated_acc_only,composite_rank,accuracy_only_rank,rank_change
concept,Claude Haiku 4.5,0.1984,0.2835,11,11,0
concept,Claude Opus 4.6,0.2616,0.3737,10,10,0
concept,Claude Sonnet 4.6,0.3292,0.4702,5,5,0
concept,DeepSeek V3.2,0.1941,0.2772,12,12,0
concept,GLM-5,0.5496,0.7851,2,2,0
concept,GPT-5.4,0.2676,0.3822,9,9,0
concept,GPT-5.4 mini,0.2758,0.394,8,8,0
concept,GPT-5.4 nano,0.1556,0.2222,14,14,0
concept,Gemini 2.5 Flash,0.5178,0.7397,4,4,0
concept,Gemini 3.1 Flash-Lite Preview,0.3225,0.4607,6,6,0
concept,Gemini 3.1 Pro Preview,0.7237,1.0,1,1,0
concept,Gemma 4 26B A4B,0.2782,0.3975,7,7,0
concept,Qwen 3 Next 80B Instruct,0.191,0.2728,13,13,0
concept,Qwen 3 Next 80B Thinking,0.5412,0.7731,3,3,0
language,Claude Haiku 4.5,0.3486,0.498,12,12,0
language,Claude Opus 4.6,0.51,0.7286,5,5,0
language,Claude Sonnet 4.6,0.4668,0.6669,9,9,0
language,DeepSeek V3.2,0.4726,0.6751,7,7,0
language,GLM-5,0.6932,0.9903,2,2,0
language,GPT-5.4,0.5997,0.8568,4,4,0
language,GPT-5.4 mini,0.4628,0.6611,10,10,0
language,GPT-5.4 nano,0.3147,0.4496,13,13,0
language,Gemini 2.5 Flash,0.4704,0.672,8,8,0
language,Gemini 3.1 Flash-Lite Preview,0.4922,0.7032,6,6,0
language,Gemini 3.1 Pro Preview,0.7557,1.0,1,1,0
language,Gemma 4 26B A4B,0.2707,0.3868,14,14,0
language,Qwen 3 Next 80B Instruct,0.4146,0.5923,11,11,0
language,Qwen 3 Next 80B Thinking,0.6227,0.8896,3,3,0
