task_id,category,file_found,file_path,ground_truth_verifiable,has_answer_key,has_rule_function,has_unknown_answers,imports_successfully,file_size_kb,notes
blocking_effect,associative,True,associative_learning/blocking-effect-assoc-learning.py,True,True,True,True,False,10.9,answer_key present | scoring function present | computed ground truth | UNKNOWN answers present | import requires kaggle_benchmarks (OK for offline)
xor_attribute_binding,associative,True,associative_learning/xor-attribute-binding-assoc-learning.py,True,True,True,True,False,6.5,answer_key present | scoring function present | computed ground truth | UNKNOWN answers present | import requires kaggle_benchmarks (OK for offline)
temporal_pairing_tnr,associative,True,associative_learning/temporal-pairing-tnr-assoc-learning.py,True,True,True,False,False,7.6,answer_key present | scoring function present | computed ground truth | seeded random generation | import requires kaggle_benchmarks (OK for offline)
digit_cipher,concept,True,concept_learning/digit-cipher-concept-learning.py,True,False,True,False,False,10.4,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
vowel_rotation,concept,True,concept_learning/vowel-rotation-concept-learning.py,True,False,True,False,False,9.6,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
state_machine,concept,True,concept_learning/state-machine-concept-learning.py,True,False,True,False,False,9.6,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
kelstran_tone,language,True,language_learning/kelstran-tone-lang-learning.py,True,False,True,False,False,10.2,scoring function present | computed ground truth | seeded random generation | import requires kaggle_benchmarks (OK for offline)
drelkovak_harmony,language,True,language_learning/drelkovak-harmony-lang-learning.py,True,False,True,False,False,10.0,scoring function present | computed ground truth | seeded random generation | import requires kaggle_benchmarks (OK for offline)
mixed_radix_number,language,True,language_learning/mixed-radix-number-lang-learning.py,True,False,True,False,False,8.4,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
lattice_meet_join,observational,True,observational_learning/lattice-meet-join-obs-learning.py,True,True,True,False,False,7.6,answer_key present | scoring function present | computed ground truth | seeded random generation | import requires kaggle_benchmarks (OK for offline)
finite_state_transducer,observational,True,observational_learning/finite-state-transducer-obs-learning.py,True,False,True,False,False,3.2,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
hidden_state_machine,observational,True,observational_learning/hidden-state-machine-obs-learning.py,True,False,True,False,False,18.8,scoring function present | computed ground truth | import requires kaggle_benchmarks (OK for offline)
shift_cipher,rl,True,reinforcement_learning/shift-cipher-rf-learning.py,False,True,True,False,False,7.2,answer_key present | scoring function present | seeded random generation | import requires kaggle_benchmarks (OK for offline)
arithmetic_next,rl,True,reinforcement_learning/arithmetic-next-rf-learning.py,False,False,True,False,False,6.8,scoring function present | seeded random generation | import requires kaggle_benchmarks (OK for offline)
battleship_1d,rl,True,reinforcement_learning/battleship-1d-rf-learning.py,False,False,True,False,False,6.3,scoring function present | seeded random generation | import requires kaggle_benchmarks (OK for offline)
