category,task_name,rank1_model,rank1_score
associative,blocking_effect_assoc_learning,"TIE:Claude Opus 4.6,Claude Sonnet 4.6,GPT-5.4",1.0
associative,contextual_flip_assoc_learning,"TIE:GLM-5,Claude Opus 4.6,Gemini 3.1 Pro Preview",0.75
associative,cumulative_state_rewrite_assoc_learning,Gemini 3.1 Pro Preview,1.0
associative,deep_second_order_extinction_assoc_learning,"TIE:GLM-5,Claude Opus 4.6,Claude Sonnet 4.6",1.0
associative,gated_dual_signal_binding_assoc_learning,"TIE:Gemini 3.1 Pro Preview,GPT-5.4",1.0
associative,glyph_bind_assoc_learning,"TIE:Claude Opus 4.6,Gemini 3.1 Pro Preview",1.0
associative,inference_dyad_operators_assoc_learning,"TIE:GLM-5,Gemini 3.1 Pro Preview",1.0
associative,inhibitory_summation_assoc_learning,Gemini 3.1 Pro Preview,1.0
associative,latent_cross_binding_assoc_learning,"TIE:Qwen 3 Next 80B Thinking,Gemini 3.1 Pro Preview,GPT-5.4",1.0
associative,latent_inhibition_assoc_learning,Gemini 3.1 Pro Preview,1.0
associative,latent_set_binding_assoc_learning,"TIE:Gemini 2.5 Flash,DeepSeek V3.2,Claude Opus 4.6",1.0
associative,latent_set_variant_assoc_learning,"TIE:GLM-5,Claude Opus 4.6,Gemini 3.1 Pro Preview",1.0
associative,learned_irrelevance_assoc_learning,"TIE:Gemini 2.5 Flash,Gemini 3.1 Pro Preview,GPT-5.4",1.0
associative,occasion_setting_assoc_learning,"TIE:Claude Opus 4.6,Claude Sonnet 4.6,GPT-5.4",1.0
associative,odd_letter_score_pair_assoc_learning,"TIE:Qwen 3 Next 80B Thinking,Gemini 3.1 Pro Preview,GPT-5.4",0.8333
associative,overexpectation_assoc_learning,Gemini 3.1 Pro Preview,1.0
associative,retrospective_revaluation_assoc_learning,"TIE:Gemini 2.5 Flash,Qwen 3 Next 80B Thinking,Gemini 3.1 Pro Preview",1.0
associative,spurious_hue_true_edge_assoc_learning,Gemini 3.1 Pro Preview,1.0
associative,temporal_pairing_tnr_assoc_learning,"TIE:GLM-5,Claude Haiku 4.5,Qwen 3 Next 80B Thinking",1.0
associative,xor_attribute_binding_assoc_learning,"TIE:GLM-5,Gemini 3.1 Pro Preview",0.8333
concept,consonant_clusters_concept_learning,Gemini 3.1 Pro Preview,0.9571
concept,digit_cipher_concept_learning,"TIE:Gemini 3.1 Pro Preview,GLM-5",1.0
concept,disjunctive_noise_concept_learning,Qwen 3 Next 80B Thinking,0.75
concept,dual_recurrence_concept_learning,"TIE:Claude Sonnet 4.6,Gemma 4 26B A4B,GPT-5.4",0.4
concept,encoded_triple_concept_learning,"TIE:Gemini 3.1 Pro Preview,GLM-5,Gemini 2.5 Flash",1.0
