category,tier,n_models,mean_score,std_score,min_score,max_score,models
associative,frontier,4,0.7596428571428572,0.13343019263882583,0.6501785714285714,0.9351190476190476,"Claude Opus 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
associative,mid,6,0.5742361111111111,0.06239175906787916,0.4872619047619048,0.6507738095238096,"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
associative,small,4,0.4760440162907268,0.031712197752584555,0.4367857142857143,0.502202380952381,"Claude Haiku 4.5, GPT-5.4 nano, Gemma 4 26B A4B, Qwen 3 Next 80B Instruct"
concept,frontier,4,0.45058591079972654,0.2262635752828876,0.2615789473684211,0.7236534518113465,"Claude Opus 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
concept,mid,6,0.36341464456596034,0.13756769547251638,0.19406015037593985,0.5411611414900889,"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
concept,small,4,0.2057948137388927,0.05178473282881229,0.15556220095693782,0.27823308270676694,"Claude Haiku 4.5, GPT-5.4 nano, Gemma 4 26B A4B, Qwen 3 Next 80B Instruct"
language,frontier,4,0.6396808479981557,0.10760302065502594,0.510034965034965,0.7557284062091755,"Claude Opus 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
language,mid,6,0.49790694882041037,0.06198030746332564,0.46276185353108434,0.6227024898178743,"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
language,small,4,0.33717432407336256,0.06066593451868795,0.2707474256512718,0.4146001434462973,"Claude Haiku 4.5, GPT-5.4 nano, Gemma 4 26B A4B, Qwen 3 Next 80B Instruct"
observational,frontier,4,0.5004960317460317,0.2549199111539008,0.2912698412698413,0.8374999999999999,"Claude Opus 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
observational,mid,6,0.34990079365079363,0.13626672984124782,0.20515873015873018,0.5799603174603175,"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
observational,small,4,0.22375992063492062,0.06664508480819972,0.14365079365079364,0.3033730158730159,"Claude Haiku 4.5, GPT-5.4 nano, Gemma 4 26B A4B, Qwen 3 Next 80B Instruct"
rl,frontier,4,0.49239799999999995,0.10351843227818573,0.40854399999999996,0.6236619999999999,"Claude Opus 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
rl,mid,6,0.41793433333333335,0.07275364145296555,0.2882,0.498106,"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
rl,small,4,0.3301935,0.11474009261950824,0.20192800000000002,0.447478,"Claude Haiku 4.5, GPT-5.4 nano, Gemma 4 26B A4B, Qwen 3 Next 80B Instruct"
